time_ns,generation,batch_active,queue_current_bytes,queue_predicted_bytes,pending_excess_bytes,arrival_wire_bps,service_wire_bps,base_target_bps,boost_requested_bps,boost_effective_bps,boost_lease_expire_ns,drain_bps,aggregate_requested_bps,aggregate_applied_bps,zone,veto_reason,background_applied_bps,incast_applied_bps
1380000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
1385000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
1390000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
1395000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
1400000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
1405000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
1410000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
1415000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
1420000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
1425000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
