time,link_id,queue_bytes,utilization,tx_bytes_delta,ecn_marks_delta,pfc_paused,pfc_event_delta,pfc_pause_ns_delta
0.11494,84:1,0,0.8,10000,0,0,0,0
0.11495,84:1,0,0.8,10000,0,0,0,0
0.11496,84:1,0,0.8,10000,0,0,0,0
0.11497,84:1,0,0.8,10000,0,0,0,0
0.11498,84:1,0,0.8,10000,0,0,0,0
0.11499,84:1,0,0.8,10000,0,0,0,0
0.115,84:1,0,0.8,10000,0,0,0,0
0.11501,84:1,0,0.8,10000,0,0,0,0
0.11502,84:1,0,0.8,10000,0,0,0,0
0.11503,84:1,0,0.8,10000,0,0,0,0
0.11504,84:1,0,0.8,10000,0,0,0,0
0.11505,84:1,0,0.8,10000,0,0,0,0
0.11506,84:1,0,0.8,10000,0,0,0,0
0.11507,84:1,0,0.8,10000,0,0,0,0
0.11508,84:1,0,0.8,10000,0,0,0,0
0.11509,84:1,0,0.8,10000,0,0,0,0
0.1151,84:1,0,0.8,10000,0,0,0,0
0.11511,84:1,0,0.8,10000,0,0,0,0
0.11512,84:1,0,0.8,10000,0,0,0,0
0.11513,84:1,0,0.8,10000,0,0,0,0
0.11514,84:1,0,0.8,10000,0,0,0,0
0.11515,84:1,0,0.8,10000,0,0,0,0
0.11516,84:1,0,0.8,10000,0,0,0,0
0.11517,84:1,0,0.8,10000,0,0,0,0
0.11518,84:1,0,0.8,10000,0,0,0,0
0.11519,84:1,0,0.8,10000,0,0,0,0
0.1152,84:1,0,0.8,10000,0,0,0,0
0.11521,84:1,0,0.8,10000,0,0,0,0
0.11522,84:1,0,0.8,10000,0,0,0,0
0.11523,84:1,0,0.8,10000,0,0,0,0
0.11524,84:1,0,0.8,10000,0,0,0,0
0.11525,84:1,0,0.8,10000,0,0,0,0
0.11526,84:1,0,0.8,10000,0,0,0,0
0.11527,84:1,0,0.8,10000,0,0,0,0
0.11528,84:1,0,0.8,10000,0,0,0,0
0.11529,84:1,0,0.8,10000,0,0,0,0
0.1153,84:1,0,0.8,10000,0,0,0,0
0.11531,84:1,0,0.8,10000,0,0,0,0
0.11532,84:1,0,0.8,10000,0,0,0,0
0.11533,84:1,0,0.8,10000,0,0,0,0
0.11534,84:1,0,0.8,10000,0,0,0,0
0.11535,84:1,0,0.8,10000,0,0,0,0
0.11536,84:1,0,0.8,10000,0,0,0,0
0.11537,84:1,0,0.8,10000,0,0,0,0
0.11538,84:1,0,0.8,10000,0,0,0,0
0.11539,84:1,0,0.8,10000,0,0,0,0
0.1154,84:1,0,0.8,10000,0,0,0,0
0.11541,84:1,0,0.8,10000,0,0,0,0
0.11542,84:1,0,0.8,10000,0,0,0,0
0.11543,84:1,0,0.8,10000,0,0,0,0
0.11544,84:1,0,0.8,10000,0,0,0,0
0.11545,84:1,0,0.8,10000,0,0,0,0
0.11546,84:1,0,0.8,10000,0,0,0,0
0.11547,84:1,0,0.8,10000,0,0,0,0
0.11548,84:1,0,0.8,10000,0,0,0,0
0.11549,84:1,0,0.8,10000,0,0,0,0
0.1155,84:1,0,0.8,10000,0,0,0,0
0.11551,84:1,0,0.8,10000,0,0,0,0
0.11552,84:1,0,0.8,10000,0,0,0,0
0.11553,84:1,0,0.8,10000,0,0,0,0
0.11554,84:1,0,0.8,10000,0,0,0,0
0.11555,84:1,0,0.8,10000,0,0,0,0
0.11556,84:1,0,0.8,10000,0,0,0,0
0.11557,84:1,0,0.8,10000,0,0,0,0
0.11558,84:1,0,0.8,10000,0,0,0,0
0.11559,84:1,0,0.8,10000,0,0,0,0
0.1156,84:1,0,0.8,10000,0,0,0,0
0.11561,84:1,0,0.8,10000,0,0,0,0
0.11562,84:1,0,0.8,10000,0,0,0,0
0.11563,84:1,0,0.8,10000,0,0,0,0
0.11564,84:1,0,0.8,10000,0,0,0,0
0.11565,84:1,0,0.8,10000,0,0,0,0
0.11566,84:1,0,0.88,11000,0,0,0,0
0.11567,84:1,0,0.8,10000,0,0,0,0
0.11568,84:1,0,0.8,10000,0,0,0,0
0.11569,84:1,0,0.8,10000,0,0,0,0
0.1157,84:1,0,0.8,10000,0,0,0,0
0.11571,84:1,0,0.8,10000,0,0,0,0
0.11572,84:1,0,0.8,10000,0,0,0,0
0.11573,84:1,0,0.8,10000,0,0,0,0
0.11574,84:1,0,0.8,10000,0,0,0,0
