time_ns,event,node_id,ifindex,link_id,packet_uid,size_bytes
2104142784,TX_END,84,1,0,2130659,1048
2104143003,TX_BEGIN,84,1,0,2130661,1048
2104143841,TX_END,84,1,0,2130661,1048
2104144060,TX_BEGIN,84,1,0,2130663,1048
2104144898,TX_END,84,1,0,2130663,1048
2104145117,TX_BEGIN,84,1,0,2130665,1048
2104145955,TX_END,84,1,0,2130665,1048
2104146174,TX_BEGIN,84,1,0,2130667,1048
2104147012,TX_END,84,1,0,2130667,1048
2104147231,TX_BEGIN,84,1,0,2130669,1048
2104148069,TX_END,84,1,0,2130669,1048
2104148288,TX_BEGIN,84,1,0,2130671,1048
2104149126,TX_END,84,1,0,2130671,1048
2104149345,TX_BEGIN,84,1,0,2130673,1048
2104150183,TX_END,84,1,0,2130673,1048
2104150402,TX_BEGIN,84,1,0,2130675,1048
2104151240,TX_END,84,1,0,2130675,1048
2104151459,TX_BEGIN,84,1,0,2130677,1048
2104152297,TX_END,84,1,0,2130677,1048
2104152516,TX_BEGIN,84,1,0,2130679,1048
2104153354,TX_END,84,1,0,2130679,1048
2104153573,TX_BEGIN,84,1,0,2130681,1048
2104154411,TX_END,84,1,0,2130681,1048
2104154630,TX_BEGIN,84,1,0,2130683,1048
2104155468,TX_END,84,1,0,2130683,1048
2104155687,TX_BEGIN,84,1,0,2130685,1048
2104156525,TX_END,84,1,0,2130685,1048
2104156744,TX_BEGIN,84,1,0,2130687,1048
2104157582,TX_END,84,1,0,2130687,1048
2104157801,TX_BEGIN,84,1,0,2130689,1048
2104158639,TX_END,84,1,0,2130689,1048
2104158858,TX_BEGIN,84,1,0,2130691,1048
2104159696,TX_END,84,1,0,2130691,1048
2104159915,TX_BEGIN,84,1,0,2130693,1048
2104160753,TX_END,84,1,0,2130693,1048
2104160972,TX_BEGIN,84,1,0,2130695,1048
2104161810,TX_END,84,1,0,2130695,1048
2104162029,TX_BEGIN,84,1,0,2130697,1048
2104162867,TX_END,84,1,0,2130697,1048
2104163086,TX_BEGIN,84,1,0,2130699,1048
2104163924,TX_END,84,1,0,2130699,1048
2104164143,TX_BEGIN,84,1,0,2130701,1048
2104164981,TX_END,84,1,0,2130701,1048
2104165200,TX_BEGIN,84,1,0,2130703,1048
2104166038,TX_END,84,1,0,2130703,1048
2104166257,TX_BEGIN,84,1,0,2130705,1048
2104167095,TX_END,84,1,0,2130705,1048
2104167314,TX_BEGIN,84,1,0,2130707,1048
2104168152,TX_END,84,1,0,2130707,1048
2104168371,TX_BEGIN,84,1,0,2130709,1048
2104169209,TX_END,84,1,0,2130709,1048
2104169428,TX_BEGIN,84,1,0,2130711,1048
2104170266,TX_END,84,1,0,2130711,1048
2104170485,TX_BEGIN,84,1,0,2130713,1048
2104171323,TX_END,84,1,0,2130713,1048
2104171542,TX_BEGIN,84,1,0,2130715,1048
2104172380,TX_END,84,1,0,2130715,1048
2104172599,TX_BEGIN,84,1,0,2130717,1048
2104173437,TX_END,84,1,0,2130717,1048
2104173656,TX_BEGIN,84,1,0,2130719,1048
2104174494,TX_END,84,1,0,2130719,1048
2104174713,TX_BEGIN,84,1,0,2130721,1048
2104175551,TX_END,84,1,0,2130721,1048
2104175770,TX_BEGIN,84,1,0,2130723,1048
2104176608,TX_END,84,1,0,2130723,1048
2104176827,TX_BEGIN,84,1,0,2130725,1048
2104177665,TX_END,84,1,0,2130725,1048
2104177884,TX_BEGIN,84,1,0,2130727,1048
2104178722,TX_END,84,1,0,2130727,1048
2104178941,TX_BEGIN,84,1,0,2130729,1048
2104179779,TX_END,84,1,0,2130729,1048
2104179998,TX_BEGIN,84,1,0,2130731,1048
2104180836,TX_END,84,1,0,2130731,1048
2104181055,TX_BEGIN,84,1,0,2130733,1048
2104181893,TX_END,84,1,0,2130733,1048
2104182112,TX_BEGIN,84,1,0,2130735,1048
2104182950,TX_END,84,1,0,2130735,1048
2104183169,TX_BEGIN,84,1,0,2130737,1048
2104184007,TX_END,84,1,0,2130737,1048
2104184226,TX_BEGIN,84,1,0,2130739,1048
2104185064,TX_END,84,1,0,2130739,1048
2104185283,TX_BEGIN,84,1,0,2130741,1048
2104186121,TX_END,84,1,0,2130741,1048
2104186340,TX_BEGIN,84,1,0,2130743,1048
2104187178,TX_END,84,1,0,2130743,1048
2104187397,TX_BEGIN,84,1,0,2130745,1048
2104188235,TX_END,84,1,0,2130745,1048
2104188454,TX_BEGIN,84,1,0,2130747,1048
2104189292,TX_END,84,1,0,2130747,1048
2104189511,TX_BEGIN,84,1,0,2130749,1048
2104190349,TX_END,84,1,0,2130749,1048
2104190568,TX_BEGIN,84,1,0,2130751,1048
2104191406,TX_END,84,1,0,2130751,1048
2104191625,TX_BEGIN,84,1,0,2130753,1048
2104192463,TX_END,84,1,0,2130753,1048
2104192682,TX_BEGIN,84,1,0,2130755,1048
2104193520,TX_END,84,1,0,2130755,1048
2104193739,TX_BEGIN,84,1,0,2130757,1048
2104194577,TX_END,84,1,0,2130757,1048
2104194796,TX_BEGIN,84,1,0,2130759,1048
2104195634,TX_END,84,1,0,2130759,1048
2104195853,TX_BEGIN,84,1,0,2130761,1048
2104196691,TX_END,84,1,0,2130761,1048
2104196910,TX_BEGIN,84,1,0,2130763,1048
2104197748,TX_END,84,1,0,2130763,1048
2104197967,TX_BEGIN,84,1,0,2130765,1048
2104198805,TX_END,84,1,0,2130765,1048
2104199024,TX_BEGIN,84,1,0,2130767,1048
2104199862,TX_END,84,1,0,2130767,1048
2104200081,TX_BEGIN,84,1,0,2130769,1048
2104200919,TX_END,84,1,0,2130769,1048
2104201138,TX_BEGIN,84,1,0,2130771,1048
2104201976,TX_END,84,1,0,2130771,1048
2104202195,TX_BEGIN,84,1,0,2130773,1048
2104203033,TX_END,84,1,0,2130773,1048
2104203252,TX_BEGIN,84,1,0,2130775,1048
2104204090,TX_END,84,1,0,2130775,1048
2104204309,TX_BEGIN,84,1,0,2130777,1048
2104205147,TX_END,84,1,0,2130777,1048
2104205366,TX_BEGIN,84,1,0,2130779,1048
2104206204,TX_END,84,1,0,2130779,1048
2104206423,TX_BEGIN,84,1,0,2130781,1048
2104207261,TX_END,84,1,0,2130781,1048
2104207480,TX_BEGIN,84,1,0,2130783,1048
2104208318,TX_END,84,1,0,2130783,1048
2104208537,TX_BEGIN,84,1,0,2130785,1048
2104209375,TX_END,84,1,0,2130785,1048
2104209594,TX_BEGIN,84,1,0,2130787,1048
2104210432,TX_END,84,1,0,2130787,1048
2104210651,TX_BEGIN,84,1,0,2130789,1048
2104211489,TX_END,84,1,0,2130789,1048
2104211708,TX_BEGIN,84,1,0,2130791,1048
2104212546,TX_END,84,1,0,2130791,1048
2104212765,TX_BEGIN,84,1,0,2130793,1048
2104213603,TX_END,84,1,0,2130793,1048
2104213822,TX_BEGIN,84,1,0,2130795,1048
2104214660,TX_END,84,1,0,2130795,1048
2104214879,TX_BEGIN,84,1,0,2130797,1048
2104215717,TX_END,84,1,0,2130797,1048
2104215936,TX_BEGIN,84,1,0,2130799,1048
2104216774,TX_END,84,1,0,2130799,1048
2104216993,TX_BEGIN,84,1,0,2130801,1048
2104217831,TX_END,84,1,0,2130801,1048
2104218050,TX_BEGIN,84,1,0,2130803,1048
2104218888,TX_END,84,1,0,2130803,1048
2104219107,TX_BEGIN,84,1,0,2130805,1048
2104219945,TX_END,84,1,0,2130805,1048
2104220164,TX_BEGIN,84,1,0,2130807,1048
2104221002,TX_END,84,1,0,2130807,1048
2104221221,TX_BEGIN,84,1,0,2130809,1048
2104222059,TX_END,84,1,0,2130809,1048
2104222278,TX_BEGIN,84,1,0,2130811,1048
2104223116,TX_END,84,1,0,2130811,1048
2104223335,TX_BEGIN,84,1,0,2130813,1048
2104224173,TX_END,84,1,0,2130813,1048
2104224392,TX_BEGIN,84,1,0,2130815,1048
2104225230,TX_END,84,1,0,2130815,1048
2104225449,TX_BEGIN,84,1,0,2130817,1048
2104226287,TX_END,84,1,0,2130817,1048
2104226506,TX_BEGIN,84,1,0,2130819,1048
2104227344,TX_END,84,1,0,2130819,1048
2104227563,TX_BEGIN,84,1,0,2130821,1048
2104228401,TX_END,84,1,0,2130821,1048
2104228620,TX_BEGIN,84,1,0,2130823,1048
2104229458,TX_END,84,1,0,2130823,1048
