time_ns,event,entity,role_or_zone_or_state,requested_or_target_bps,commanded_or_aggreq_bps,applied_bps,owner,queue_B_or_phase,Q_pred_B,boost_bps,drain_bps
997005000,epoch,link0,GREEN,0,0,0,,0,0,0,0
997010000,epoch,link0,GREEN,0,0,0,,0,0,0,0
997015000,epoch,link0,GREEN,0,0,0,,0,0,0,0
997020000,epoch,link0,GREEN,0,0,0,,0,0,0,0
997025000,epoch,link0,GREEN,0,0,0,,0,0,0,0
997030000,epoch,link0,GREEN,0,0,0,,0,0,0,0
997035000,epoch,link0,GREEN,0,0,0,,0,0,0,0
997040000,epoch,link0,GREEN,0,0,0,,0,0,0,0
997045000,epoch,link0,GREEN,0,0,0,,0,0,0,0
997050000,epoch,link0,GREEN,0,0,0,,0,0,0,0
997055000,epoch,link0,GREEN,0,0,0,,0,0,0,0
997060000,epoch,link0,GREEN,0,0,0,,0,0,0,0
997065000,epoch,link0,GREEN,0,0,0,,0,0,0,0
997070000,epoch,link0,GREEN,0,0,0,,0,0,0,0
997075000,epoch,link0,GREEN,0,0,0,,0,0,0,0
997080000,epoch,link0,GREEN,0,0,0,,0,0,0,0
997085000,epoch,link0,GREEN,0,0,0,,0,0,0,0
997090000,epoch,link0,GREEN,0,0,0,,0,0,0,0
997095000,epoch,link0,GREEN,0,0,0,,0,0,0,0
997100000,epoch,link0,GREEN,0,0,0,,0,0,0,0
997105000,epoch,link0,GREEN,0,0,0,,0,0,0,0
997110000,epoch,link0,GREEN,0,0,0,,0,0,0,0
997115000,epoch,link0,GREEN,0,0,0,,0,0,0,0
997120000,epoch,link0,GREEN,0,0,0,,0,0,0,0
997125000,epoch,link0,GREEN,0,0,0,,0,0,0,0
997130000,epoch,link0,GREEN,0,0,0,,0,0,0,0
997135000,epoch,link0,GREEN,0,0,0,,0,0,0,0
997140000,epoch,link0,GREEN,0,0,0,,0,0,0,0
997145000,epoch,link0,GREEN,0,0,0,,0,0,0,0
997150000,epoch,link0,GREEN,0,0,0,,0,0,0,0
997155000,epoch,link0,GREEN,0,0,0,,0,0,0,0
997160000,epoch,link0,GREEN,0,0,0,,0,0,0,0
997165000,epoch,link0,GREEN,0,0,0,,0,0,0,0
997170000,epoch,link0,GREEN,0,0,0,,0,0,0,0
