metric_id,category,algorithm,scenario,window,scope,statistic,value,unit,numerator,denominator,sample_count,source_file,source_columns,formula,evidence_type,availability,notes
A.const.MAX_BOOST,identity,BOTH,S3,W0,constant,value,3000000000.0,bps/B/us,,,,,,,DERIVED,AVAILABLE,frozen configuration constant
A.const.MIN_RATE_payload,identity,BOTH,S3,W0,constant,value,100000000.0,bps/B/us,,,,,,,DERIVED,AVAILABLE,frozen configuration constant
A.const.base_rtt_us,identity,BOTH,S3,W0,constant,value,15.2,bps/B/us,,,,,,,DERIVED,AVAILABLE,frozen configuration constant
A.window.W1_CBAP,identity,BOTH,S3,W1_CBAP,window,start_s,2.0,s,,,,,,,DERIVED,AVAILABLE,
A.window.W1_CBAP.end,identity,BOTH,S3,W1_CBAP,window,end_s,2.059406587,s,,,,,,,DERIVED,AVAILABLE,
A.window.W1_CBAP.dur,identity,BOTH,S3,W1_CBAP,window,duration_ms,59.40658699999979,ms,,,,,,,DERIVED,AVAILABLE,
A.window.W1_DCQCN,identity,BOTH,S3,W1_DCQCN,window,start_s,2.0,s,,,,,,,DERIVED,AVAILABLE,
A.window.W1_DCQCN.end,identity,BOTH,S3,W1_DCQCN,window,end_s,2.058372997,s,,,,,,,DERIVED,AVAILABLE,
A.window.W1_DCQCN.dur,identity,BOTH,S3,W1_DCQCN,window,duration_ms,58.372997000000204,ms,,,,,,,DERIVED,AVAILABLE,
A.window.W2_COMMON_OVERLAP,identity,BOTH,S3,W2_COMMON_OVERLAP,window,start_s,2.0,s,,,,,,,DERIVED,AVAILABLE,
A.window.W2_COMMON_OVERLAP.end,identity,BOTH,S3,W2_COMMON_OVERLAP,window,end_s,2.058372997,s,,,,,,,DERIVED,AVAILABLE,
A.window.W2_COMMON_OVERLAP.dur,identity,BOTH,S3,W2_COMMON_OVERLAP,window,duration_ms,58.372997000000204,ms,,,,,,,DERIVED,AVAILABLE,
A.window.W3_CBAP_TAIL,identity,BOTH,S3,W3_CBAP_TAIL,window,start_s,2.058372997,s,,,,,,,DERIVED,AVAILABLE,
A.window.W3_CBAP_TAIL.end,identity,BOTH,S3,W3_CBAP_TAIL,window,end_s,2.059406587,s,,,,,,,DERIVED,AVAILABLE,
A.window.W3_CBAP_TAIL.dur,identity,BOTH,S3,W3_CBAP_TAIL,window,duration_ms,1.0335899999995846,ms,,,,,,,DERIVED,AVAILABLE,
B.incast.count,completion,CBAP,S3,W1,incast,count,64,flows,,,,flow_summary.csv,total_size_bytes<1e9,,MEASURED,AVAILABLE,
B.incast.completed,completion,CBAP,S3,W1,incast,count,64,flows,,,,flow_summary.csv,completed,,MEASURED,AVAILABLE,
B.fct.min,completion,CBAP,S3,W1,incast,min,59.375150000000005,ms,,,64,flow_summary.csv,fct,percentile/mean over completed incast fct,MEASURED,AVAILABLE,
B.fct.mean,completion,CBAP,S3,W1,incast,mean,59.39086849999999,ms,,,64,flow_summary.csv,fct,percentile/mean over completed incast fct,MEASURED,AVAILABLE,
